,Tank-PressureElementKeys,NAME,MATERIAL,USE_STATUS,STANDARD,OTHER_REQUIREMENT
,Tank-PressureElement,筒体、封头,Q345R,热轧,GB/T 713-2014,
,Tank-PressureElement,法兰盖,16MnⅢ,正火,NB/T 47008-2017,
,Tank-PressureElement,接管,20,热轧,GB/T 8163-2008,
,Tank-PressureElement,接管法兰,16MnⅢ,正火,NB/T 47008-2017,
,Heater-PressureElement,壳程筒体,Q345R,热轧,GB/T 713-2014,
,Heater-PressureElement,换热管,10,正火,GB/T 9948-2013,冷拔，高精度管
,Heater-PressureElement,管板,16MnⅢ,正火,NB/T 47008-2017,
,Heater-PressureElement,管箱筒体,Q345R,热轧,GB/T 713-2014,
,Heater-PressureElement,管箱封头,Q345R,热轧,GB/T 713-2014,
,Heater-PressureElement,管箱法兰,16MnⅡ,正火,NB/T 47008-2017,
,Heater-PressureElement,管程接管,20,热轧,GB/T 8163-2008,
,Heater-PressureElement,管程接管法兰,16MnⅡ,正火,NB/T 47008-2017,
,Heater-PressureElement,壳程接管,20,热轧,GB/T 8163-2008,
,Heater-PressureElement,壳程接管法兰、法兰盖,16MnⅡ,正火,NB/T 47008-2017,
,Tank-Standard,verticalTank,GB/T 150.1~150.4-2011《压力容器》
,Tank-Standard,verticalTank,HG/T 20584-2011《钢制化工容器制造技术要求》
,Tank-Standard,verticalTank,NB/T 47015-2011《压力容器焊接规程》
,Tank-HeadStyle,verticalTank,除图中注明外，焊接接头型式及尺寸按HG/T20583-2011
,Tank-HeadStyle,verticalTank,中的规定；角焊缝的焊脚尺寸按较薄板厚度；法兰焊接按相
,Tank-HeadStyle,verticalTank,应法兰标准中的规定；其余按GB/T 985.1-2008中规定。
,Tank-HeadMaterial,verticalTank,按NB/T 47014-2011的要求进行焊接工艺评定，并根据
,Tank-HeadMaterial,verticalTank,焊接工艺评定的结果选择合适的焊接材料；焊接材料应满足
,Tank-HeadMaterial,verticalTank,NB/T47018-2017的规定。
,Tank-OtherRequest,verticalTank,1. 工程图上标注的所有厚度仅作参考，最终以施工图设计为准，但施工图设计时该元件的厚度不得小于工程图标注厚度。
,Tank-OtherRequest,verticalTank,2. 管法兰和手孔垫片采用RPTFE，制造厂提供试压垫片和生产用垫片，垫片厚度≥3mm。
,Tank-OtherRequest,verticalTank,3. 设备制造完毕，碳钢外表面喷砂除锈达Sa2.5级后涂环氧富锌底漆二道，总干膜厚度80μm，环氧云铁中间漆一道，干膜厚度
,Tank-OtherRequest,verticalTank,50μm；面漆待设备安装后由业主统一涂刷。
,Tank-OtherRequest,verticalTank,4. 设备供货商应根据竣工图，统计设备用垫片、紧固件的材质、规格及数量清单，并将清单提供给业主。
,Tank-OtherRequest,verticalTank,5. 设备供货商考虑设置吊装吊耳，供设备安装吊装时使用。吊耳应采用HG/T21574-2008标准或满足其技术要求的其它型式吊耳。
,Tank-OtherRequest,verticalTank,6. 本设备数量为1台。
,Tank-Standard,horizontalTank,TSG 21-2016《固定式压力容器安全技术监察规程》
